ROI,X_position,Y_position,gene,gene_value,type,SegmentLabel,full_gene_name
K | 6B | 032 | CD11c,21888,32371,Mast cells,0,Germinal center - CD11c+,CD11c,Mast cells
K | 6B | 032 | CD11c,21888,32371,Naïve B cells,0.217303494924532,Germinal center - CD11c+,CD11c,Naïve B cells
K | 6B | 032 | CD11c,21888,32371,Memory B cells,0.401387085427888,Germinal center - CD11c+,CD11c,Memory B cells
K | 6B | 032 | CD11c,21888,32371,Plasma cells,0.0417943835957866,Germinal center - CD11c+,CD11c,Plasma cells
K | 6B | 032 | CD11c,21888,32371,Naïve CD4 T cells,0.0603082115430498,Germinal center - CD11c+,CD11c,Naïve CD4 T cells
K | 6B | 032 | CD11c,21888,32371,Memory CD4 T cells,0.0075650160027616,Germinal center - CD11c+,CD11c,Memory CD4 T cells
K | 6B | 032 | CD11c,21888,32371,Naïve CD8 T cells,0,Germinal center - CD11c+,CD11c,Naïve CD8 T cells
K | 6B | 032 | CD11c,21888,32371,Memory CD8 T cells,0.0065513193888532,Germinal center - CD11c+,CD11c,Memory CD8 T cells
K | 6B | 032 | CD11c,21888,32371,Natural killer cells,0,Germinal center - CD11c+,CD11c,Natural killer cells
K | 6B | 032 | CD11c,21888,32371,Plasmacytoid dendritic cells,0.00863279375558325,Germinal center - CD11c+,CD11c,Plasmacytoid dendritic cells
K | 6B | 032 | CD11c,21888,32371,Myeloid dendritic cells,0,Germinal center - CD11c+,CD11c,Myeloid dendritic cells
K | 6B | 032 | CD11c,21888,32371,Classical monocytes,0,Germinal center - CD11c+,CD11c,Classical monocytes
K | 6B | 032 | CD11c,21888,32371,"Non-classical, intermediate monocytes",0.0164707515412847,Germinal center - CD11c+,CD11c,"Non-classical, intermediate monocytes"
K | 6B | 032 | CD11c,21888,32371,Neutrophils,0,Germinal center - CD11c+,CD11c,Neutrophils
K | 6B | 032 | CD11c,21888,32371,Regulatory T cells,0.062880475674258,Germinal center - CD11c+,CD11c,Regulatory T cells
K | 6B | 032 | CD11c,21888,32371,Endothelial cells,0.0104043160115198,Germinal center - CD11c+,CD11c,Endothelial cells
K | 6B | 032 | CD11c,21888,32371,Fibroblasts,0.0109858656843348,Germinal center - CD11c+,CD11c,Fibroblasts
L | 6B | 033 | CD11c,16887,39225,Macrophages,0.161753134333865,Germinal center - CD11c+,CD11c,Macrophages
L | 6B | 033 | CD11c,16887,39225,Mast cells,0.000468237489740806,Germinal center - CD11c+,CD11c,Mast cells
L | 6B | 033 | CD11c,16887,39225,Naïve B cells,0.164090787019722,Germinal center - CD11c+,CD11c,Naïve B cells
L | 6B | 033 | CD11c,16887,39225,Memory B cells,0.536327296770837,Germinal center - CD11c+,CD11c,Memory B cells
L | 6B | 033 | CD11c,16887,39225,Plasma cells,0.0369907098209396,Germinal center - CD11c+,CD11c,Plasma cells
L | 6B | 033 | CD11c,16887,39225,Naïve CD4 T cells,0,Germinal center - CD11c+,CD11c,Naïve CD4 T cells
L | 6B | 033 | CD11c,16887,39225,Memory CD4 T cells,0.0456467189584473,Germinal center - CD11c+,CD11c,Memory CD4 T cells
L | 6B | 033 | CD11c,16887,39225,Naïve CD8 T cells,0,Germinal center - CD11c+,CD11c,Naïve CD8 T cells
L | 6B | 033 | CD11c,16887,39225,Memory CD8 T cells,0,Germinal center - CD11c+,CD11c,Memory CD8 T cells
L | 6B | 033 | CD11c,16887,39225,Natural killer cells,0,Germinal center - CD11c+,CD11c,Natural killer cells
L | 6B | 033 | CD11c,16887,39225,Plasmacytoid dendritic cells,0.0145324491158949,Germinal center - CD11c+,CD11c,Plasmacytoid dendritic cells
L | 6B | 033 | CD11c,16887,39225,Myeloid dendritic cells,0,Germinal center - CD11c+,CD11c,Myeloid dendritic cells
L | 6B | 033 | CD11c,16887,39225,Classical monocytes,0,Germinal center - CD11c+,CD11c,Classical monocytes
L | 6B | 033 | CD11c,16887,39225,"Non-classical, intermediate monocytes",0.00554526602783959,Germinal center - CD11c+,CD11c,"Non-classical, intermediate monocytes"
L | 6B | 033 | CD11c,16887,39225,Neutrophils,0,Germinal center - CD11c+,CD11c,Neutrophils
L | 6B | 033 | CD11c,16887,39225,Regulatory T cells,0.0191126538577343,Germinal center - CD11c+,CD11c,Regulatory T cells
L | 6B | 033 | CD11c,16887,39225,Endothelial cells,0.00822140617678523,Germinal center - CD11c+,CD11c,Endothelial cells
L | 6B | 033 | CD11c,16887,39225,Fibroblasts,0.00731134042819443,Germinal center - CD11c+,CD11c,Fibroblasts
M | 6B | 028 | CD20,3849,25684,Macrophages,0.0366515627139409,Germinal center - CD20+,CD20,Macrophages
M | 6B | 028 | CD20,3849,25684,Mast cells,0.000297571344162968,Germinal center - CD20+,CD20,Mast cells
M | 6B | 028 | CD20,3849,25684,Naïve B cells,0.23657916235178,Germinal center - CD20+,CD20,Naïve B cells
M | 6B | 028 | CD20,3849,25684,Memory B cells,0.586873672227176,Germinal center - CD20+,CD20,Memory B cells
M | 6B | 028 | CD20,3849,25684,Plasma cells,0.0377635602179911,Germinal center - CD20+,CD20,Plasma cells
M | 6B | 028 | CD20,3849,25684,Naïve CD4 T cells,0.0460434260087236,Germinal center - CD20+,CD20,Naïve CD4 T cells
